93	ML Molonglo	-4472447.432	2642503.66	-3687901.109	25
94	MP Mopra	-4672575.655	2796518.837	-3306734.183	25
95	MW Mwt	37020.38956	-4820614.502	4164102.947	25
96	NG Naga	-3780606.764	3404073.62	3833561.697	25
97	NN Nancay	4292207.818	164889.992	4704034.157	25
98	NB Nobeyama	-3871023.49	3428106.8	3724039.5	45
99	NT Noto	4934563.067	1321201.306	3806484.537	32
100	NO NRAO_140	882880.049	-4924482.33	3944130.644	43
101	NR NRL	1103572.165	-4870491.805	3954455.747	25
102	NO NRO	-3869817.246	3426922.897	3722581.623	25
103	OY O.Valley	-2403432.797	-4468122.075	3855440.048	40
104	O6 Onsala60	3370608.089	711916.4485	5349830.842	20
105	O8 Onsala85	3370968.181	711464.9172	5349664.113	25
106	OT Ooty	1442166.89	6084980.58	1250301.23	60
107	O3 Ovro130	-2409598.867	-4478350.448	3838603.785	40
108	O9 Ovro90	-2410591.985	-4477806.472	3838598.355	34
109	OM Ovro_mm	-2409585.79	-4478197.55	3838767.46	40
110	PK Parkes	-4543142.781	2811382.667	-3469564.152	64
111	PN Penticton	-2058853.4	-3621457.1	4814344.7	25
112	PR Perth	-2363449.175	4870567.194	-3356974.386	25
113	PU Puschino	2916950.09	2248648.27	5190099	22
114	P1 Puschino_1	878377.1936	-2162111.51	5921046.278	22
115	P10 Puschino_10	877639.0697	-2162438.926	5920489.58	22
116	P11 Puschino_11	877610.0388	-2162256.49	5920552.306	22
117	P12 Puschino_12	877648.6352	-2162089.883	5920646.182	22
118	P13 Puschino_13	877748.9828	-2161964.47	5920756.916	22
119	P14 Puschino_14	877895.8048	-2161899.343	5920867.65	22
120	P15 Puschino_15	878066.7487	-2161904.417	5920961.526	22
121	P16 Puschino_16	878235.79	-2161978.92	5921024.251	22
122	P2 Puschino_2	878469.4321	-2162282.001	5921024.251	22
123	P3 Puschino_3	878498.463	-2162464.437	5920961.526	22
124	P4 Puschino_4	878459.8666	-2162631.044	5920867.65	22
125	P5 Puschino_5	878359.5189	-2162756.458	5920756.916	22
126	P6 Puschino_6	878212.697	-2162821.585	5920646.182	22
127	P7 Puschino_7	878041.753	-2162816.511	5920552.306	22
128	P8 Puschino_8	877872.7118	-2162742.007	5920489.58	22
129	P9 Puschino_9	877731.3082	-2162609.417	5920467.554	22
130	QU Quab	1430960	-4495734	4278052	18
135	SH Shanghai	-2831686.946	4675733.694	3275327.661	25
136	SO Socorro	-1597676.296	-5031030.238	3571073.901	25
137	SP St.Pustyn	2610488.4	2488795.7	5243031.5	15
138	SU Suffa	1802906.874	4565258.585	4065365.872	70
139	sv Svetloe	2730173.91	1562442.625	5529969.044	32
140	TB Tabley	3804422.337	-162465.83	5106648.267	25
141	TI Tidbinbilla	-4460894.353	2682361.64	-3674748.564	64
142	TO Torino	3624959.332	1219933.596	5094063.061	25
143	UR Urumqi	228310.683	4631923.12	4367064.044	32
144	U0 Ussur0	-3059722.368	3427253.973	4409481.686	64
145	US Ussuriysk	-3056210.539	3442292.775	4400140.744	64
146	UD Usuda	-3855354	3427426	3740965	70
147	VL Velisa	2785733.971	-4475468.782	-3575878.293	25
148	VP Ventspils	3172018.184	1272250.151	5375553.943	32
149	VA VLA	-1601183.25	-5041977.85	3554876.18	25
150	V2 VLA2	-1630927.506	-5019478.734	3570513.565	25
151	V3 VLAE3	-1623859.463	-5088224.145	3475156.674	25
152	BR VLBA_BR	-2112065.074	-3705356.503	4726813.729	25
153	FD VLBA_FD	-1324009.212	-5332181.961	3231962.429	25
154	GB VLBA_GB	882589.5448	-4924872.336	3943729.384	25
155	HN VLBA_HN	1446375.009	-4447939.66	4322306.143	25
156	KP VLBA_KP	-1995678.719	-5037317.705	3357328.072	25
157	LA VLBA_LA	-1449752.456	-4975298.579	3709123.88	25
158	MK VLBA_MK	-5464075.062	-2495248.656	2148297.07	25
159	NL VLBA_NL	-130872.3599	-4762317.102	4226851.014	25
160	OV VLBA_OV	-2409150.241	-4478573.176	3838617.362	25
161	PT VLBA_PT	-1640953.816	-5014816.024	3575411.82	25
162	SC VLBA_SC	2607848.582	-5488069.612	1932739.617	25
163	VR Vro	207789.7325	-4870785.567	4100225.217	25
164	VS VSOP	1.6878E7	-0.563	46.4	10
165	WA Wardle	3819621.281	-173274.3015	5094952.539	25
166	WL Weil	4146552.506	693894.2951	4785552.53	25
167	WB Westerbork	3828440.64	445226.03	5064923.08	93
168	WZ Wettzell	4075541.906	931734.189	4801629.393	20
169	YB Yebes	4848778	-261707	4122947	32
170	ZC Zelenchuk	3451207.781	3060375.208	4391914.919	32
