0537-441	PKS0537-441	05:38:50.3618	-44:05:08.941
0538+133	$	05:41:22.6467	+13:22:34.5836
0538+498	3C147	05:42:36.128	+49:51:07.18
0539-057	PKS0539-057	05:41:38.0392	-05:41:49.5602
0549-074	NGC2110	05:52:11.2797	-07:27:22.6763
0552+398	DA193	05:55:30.80564	+39:48:49.1654
0602+673	$	06:07:52.676	+67:20:55.35
0605-085	PKS0605-085	06:07:59.69905	-08:34:49.9798
0607-157	PKS0607-157	06:09:40.94939	-15:42:40.6744
0609+607	$	06:14:23.86665	+60:46:21.7562
0610+261	3C154	06:13:50.0604	+26:04:37.2975
0615+820	S5_0615+82	06:26:02.9170	+82:02:25.640
0624-058	3C161	06:27:10.0777	-05:53:05.2787
0625+034	$	06:27:38.1449	+03:24:57.5079
0642+449	B3_0642+449	06:46:32.02621	+44:51:16.5903
0645+609	NGC2273	06:50:08.5192	+60:50:44.8718
0655+252	37_GEM	06:55:18.7500	+25:22:31.1000
0707+476	S4_0707+476	07:10:46.10466	+47:32:11.1404
0710+439	S4_0710+439	07:13:38.16412	+43:49:17.2076
0711+356	OI318	07:14:24.81803	+35:34:39.8020
0716+714	S5_0716+714	07:21:53.44791	+71:20:36.3611
0718+793		07:26:11.73518	+79:11:31.0162
0720-256	VY_CAM	07:22:58.29674	-25:46:02.9612
0723-008	PKS0723-008	07:25:50.64001	-00:54:56.5785
0727-115	PKS0727-115	07:30:19.11297	-11:41:12.6138
0735+178	OI158	07:38:07.39366	+17:42:18.9934
0736+017	PKS0736+017	07:39:18.03380	+01:37:04.6180
0738+313	OI363	07:41:10.70334	+31:12:00.2295
0740+290	SIG_GEM	07:43:18.5858	+28:53:04.2781
0740-281	PSR0740-281	07:42:48.2401	-28:22:44.7649
0742+103	PKS0742+103	07:45:33.05957	+10:11:12.6891
0743-006	4C-00.28	07:45:54.084	-00:44:17.49
0744+559	DA240	07:48:36.74060	+55:48:58.7564
0745+241	PKS0745+241	07:48:36.10928	+24:00:24.1108
0745+560	4C+56.16	07:49:48.2869	+55:54:14.6414
0748+126	PKS0748+126	07:50:52.04554	+12:31:04.8321
0749+540	4C+54.15	07:53:01.3844	+53:52:59.636
0754+100	PKS0754+100	07:57:06.631	+09:56:34.87
0758+573	54_CAM	08:02:35.8668	+57:16:26.4178
0804+499	OJ508	08:08:39.66592	+49:50:36.5263
0805-077	PKS0805-077	08:08:15.536323	-07:51:09.88768
0809+484	3C196	08:13:35.9123	+48:13:02.1464
0809+745	PSR0809+745	08:14:59.2778	+74:29:06.6975
0812+367	B2_0812+36	08:15:25.9447	+36:35:15.145
0814+425	OJ425	08:18:15.99926	+42:22:45.4119
0818-128	PKS0818-128	08:20:57.446	-12:58:58.72
0820+560	OJ535	08:24:47.2357	+55:52:43.8846
0823+033	PKS0823+033	08:25:50.338	+03:09:24.51
0827+243	B2_0827+24	08:30:52.08653	+24:10:59.8122
0828+493	OJ448	08:32:23.21636	+49:13:21.0346
0831+557	4C+55.16	08:34:54.90269	+55:34:21.1320
0834-201	PKS0834-201	08:36:39.215	-20:16:59.45
0836+710	4C71.07	08:41:24.36799	+70:53:42.1770
0838+134	3C207	08:40:47.64707	+13:12:23.0303
0839+187	PKS0839+187	08:42:05.095	+18:35:40.98
0850+581	4C+58.17	08:54:42.0127	+57:57:29.2201
0851+202	OJ287	08:54:48.87486	+20:06:30.6390
0855+144	3C212	08:58:41.2836	+14:09:42.4725
0859+470	4C+47.29	09:03:03.9235	+46:51:04.8036
0906+015	4C+01.24	09:09:10.0784	+01:21:35.6402
0915-118	3C218	09:18:05.7576	-12:05:43.8063
0917+458	3C219	09:21:08.4679	+45:38:57.3678
0917+624	S4_0917+62	09:21:36.23053	+62:15:52.1763
0919-260	PKS0919-260	09:21:29.353887	-26:18:43.38199
0923+392	4C+39.25	09:27:03.01375	+39:02:20.8505
0941-080	PKS0941-080	09:43:36.945	-08:19:30.87
0943-140	NGC2992	09:45:41.95353	-14:19:37.1253
0944+117	R_LEO	09:47:33.4084	+11:25:45.7030
0945+408	4C+40.24	09:48:55.33817	+40:39:44.5877
0954+408	$	09:48:55.3349	+40:39:44.5556
0950+081	PSR0950+081	09:53:09.2438	+07:55:35.7606
0951+692	SN1993J	09:55:24.7755	+69:01:13.7100
0951+693	M81	09:55:33.27698	+69:03:54.7585
0951+699	M82	09:55:50.76373	+69:40:43.4455
0952+179	PKS0952+179	09:54:56.82340	+17:43:31.2234
0953+254	OK290	09:56:49.87534	+25:15:16.0480
0954+658	S4_0945+65	09:58:47.24428	+65:33:54.8108
0955+476	S4_0955+47	09:58:19.67165	+47:25:07.8425
1003+351	3C236	10:06:01.88852	+34:54:11.2132
1020+567	NGC3227	10:23:30.4783	+19:51:54.3592
1030+415	B3_1030+41	10:33:03.3880	+41:16:04.2945
1032-199	PKS1032-199	10:35:02.15527	-20:11:34.3598
1038+528	1038+52A	10:41:46.80445	+52:33:28.2314
1038+528	1038+52B	10:41:48.8120	+52:33:55.5958
1038+52C	1038+52C	10:41:47.7170	+52:33:41.1376
1040+123	3C245	10:42:44.5070	+12:03:30.4927
1044+719	$	10:48:27.61992	+71:43:35.93828
1049+215	4C+21.28	10:51:48.78906	+21:19:52.3139
1053+815	S5_1053+815	10:58:11.529	+81:14:32.68
1055+018	4C+01.28	10:58:29.60496	+01:33:58.8277
1100+773	3C249.1	11:04:13.7998	+76:58:57.4012
1101+384	MK421	11:04:27.1367	+38:12:31.8111
1109+357	NGC3569	11:12:08.11795	+35:27:06.9738
1116+128	4C+12.39	11:18:57.30149	+12:34:41.7113
1117+146	4C+14.41	11:20:27.803	+14:20:54.95
1119+180	$	11:22:29.7534	+18:05:26.0478
1123+264	PKS1123+264	11:25:53.7607	+26:10:19.9161
1124-186	PKS1124-186	11:27:04.39245	-18:57:17.44166
1127-145	PKS1127-145	11:30:07.05231	-14:49:27.3926
1128+385	B3_1128+385	11:30:53.2820	+38:15:18.546
1133+161	PSR1133+161	11:36:03.2453	+15:51:00.7268
1137+661	3C263	11:39:57.0279	+65:47:50.3870
1142+199	3C264	11:45:04.9110	+19:36:23.8129
1144+402	$	11:46:58.29749	+39:58:34.3038
1145-071	$	11:47:51.3600	-07:24:41.0364
1146+596	NGC3894	11:48:50.38934	+59:24:56.3276
1148-001	$	11:50:43.87029	-00:23:54.2054
1150+812	$	11:53:12.49660	+80:58:29.1501
1155+557	NGC3998	11:57:56.16448	+55:27:12.5464
1156+295	$	11:59:31.8339	+29:14:43.8295
1208+394	NGC4151	12:10:32.5172	+39:24:20.8791
1210-028	NGC5506	14:13:14.8798	-03:12:27.3610
1213-172	$	12:15:46.756	-17:31:45.47
1215+301	MK766	12:18:26.2854	+29:48:46.4454
1216+487	$	12:19:06.419	+48:29:56.09
1217+295	NGC4278	12:20:06.84851	+29:16:50.3302
1218+339	1218+339	12:20:33.8383	+33:43:10.9742
1219+285	$	12:21:31.69042	+28:13:58.4985
1219+756	MK205	12:21:44.1095	+75:18:36.5184
1220+161	SN1979C	12:22:58.6361	+15:47:51.3325
1222+132	3C272.1	12:25:03.6319	+12:53:13.0812
1225+444	NGC4449	12:28:10.9255	+44:06:47.3981
1226+023	3C273	12:29:06.6997	+02:03:08.5958
1228+126	3C274	12:30:49.423584	+12:23:28.04401
1233+128	NGC4552	12:35:39.88487	+12:33:21.4094
1234-567	$	12:37:50.1627	-57:16:29.6389
1237-112	M104	12:39:59.3746	-11:37:22.8782
1241+167	3C275.1	12:43:57.5373	+16:22:53.1730
1245-197	$	12:48:23.8999	-19:59:18.657
1253-055	3C279	12:56:11.16667	-05:47:21.5243
1308+326	$	13:10:28.66372	+32:20:43.7818
1308+362	RS_CVN	13:10:36.9162	+35:56:05.1573
1309+350	$	13:12:17.7101	+35:15:20.9194
1315+346	OP326	13:17:36.5	
1322-427	CEN_A	13:25:27.84720	-43:01:05.9956
1323+321	$	13:26:16.51150	+31:54:09.5211
1328+307	3C286	13:31:08.2840	+30:30:32.940
1332+373	HR5110	13:34:47.6893	+37:10:56.859
1334-127	$	13:37:39.78278	-12:57:24.7004
1335-124	1335-124	13:37:39.6708	-12:57:24.7218
1338+304	MK268	13:41:11.0351	+30:22:41.1587
1342+561	MK273	13:44:41.2847	+55:53:13.5631
1342+662	$	13:43:46.1340	+66:02:31.1535
1342+663	$	13:44:08.67915	+66:06:11.6643
1345+125	$	13:47:33.36212	+12:17:24.2383
1346-282	W_HYA	13:49:02.1346	-28:21:59.6446
1351+640	$	13:53:15.6996	+63:45:43.8452
1354+195	$	13:57:04.43659	+19:19:07.3655
1400+162	$	14:02:44.5178	+15:59:56.0347
1404+286	OQ208	14:07:00.39419	+28:27:14.6884
1409+524	3C295	14:11:20.7620	+52:12:09.0024
1412+033	UGC09114	14:14:51.3198	+03:07:50.3096
1413+135	$	14:15:58.81773	+13:20:23.6864
1416+067	$	14:19:08.18042	+06:28:34.8056
1418+546	$	14:19:46.59706	+54:23:14.7878
